,CH1,CH2
Second,Volt,Volt
7.76200e-02,6.80e+00,3.52e+00, 
7.76600e-02,6.80e+00,3.50e+00, 
7.77000e-02,6.80e+00,3.52e+00, 
7.77400e-02,6.80e+00,3.48e+00, 
7.77800e-02,6.80e+00,3.38e+00, 
7.78200e-02,6.80e+00,3.36e+00, 
7.78600e-02,6.40e+00,3.10e+00, 
7.79000e-02,6.40e+00,3.08e+00, 
7.79400e-02,6.40e+00,2.68e+00, 
7.79800e-02,6.40e+00,2.60e+00, 
7.80200e-02,6.40e+00,2.26e+00, 
7.80600e-02,6.40e+00,2.24e+00, 
7.81000e-02,6.00e+00,2.18e+00, 
7.81400e-02,6.00e+00,2.24e+00, 
7.81800e-02,6.40e+00,2.68e+00, 
7.82200e-02,6.00e+00,2.74e+00, 
7.82600e-02,6.00e+00,3.26e+00, 
7.83000e-02,5.60e+00,3.32e+00, 
7.83400e-02,6.00e+00,3.48e+00, 
7.83800e-02,5.60e+00,3.44e+00, 
7.84200e-02,5.60e+00,3.04e+00, 
7.84600e-02,5.60e+00,2.96e+00, 
7.85000e-02,5.60e+00,2.42e+00, 
7.85400e-02,5.60e+00,2.38e+00, 
7.85800e-02,5.60e+00,2.18e+00, 
7.86200e-02,5.60e+00,2.20e+00, 
7.86600e-02,5.60e+00,2.60e+00, 
7.87000e-02,5.60e+00,2.68e+00, 
7.87400e-02,5.20e+00,3.30e+00, 
7.87800e-02,5.60e+00,3.44e+00, 
7.88200e-02,5.20e+00,3.30e+00, 
7.88600e-02,5.20e+00,3.24e+00, 
7.89000e-02,5.20e+00,2.54e+00, 
